ID_Pessoa,Nome_Pessoa,Idade,Sexo,Telefone,Email,Membro,Bairro
1,Natália Ferreira,52,M,11997626442,natália.ferreira@email.com,Sim,Freitas
2,Bruno Ferreira,51,M,11920322103,bruno.ferreira@email.com,Sim,Buquirinha
3,Rafael Almeida,35,F,11959419487,rafael.almeida@email.com,Sim,Vila Cândida
4,Daniela Santos,37,M,11953982732,daniela.santos@email.com,Sim,Buquirinha
5,Viviane Silva,45,M,11919197156,viviane.silva@email.com,Sim,Vila Paiva
6,Otávio Almeida,35,M,11937725818,otávio.almeida@email.com,Sim,Vila São Geraldo
7,Natália Costa,29,F,11906240431,natália.costa@email.com,Sim,Freitas
8,Gabriel Costa,54,F,11955484497,gabriel.costa@email.com,Não,Vila Cândida
9,Otávio Pereira,62,M,11904406980,otávio.pereira@email.com,Não,Freitas
10,Igor Costa,45,F,11973296417,igor.costa@email.com,Sim,Freitas
11,Daniela Souza,54,F,11904977981,daniela.souza@email.com,Não,Biquirinha 2
12,Marcos Almeida,52,M,11909642025,marcos.almeida@email.com,Não,Freitas
13,Rafael Almeida,26,F,11935269928,rafael.almeida@email.com,Sim,Freitas
14,Otávio Rodrigues,19,M,11961279290,otávio.rodrigues@email.com,Sim,Taquari
15,Patrícia Oliveira,25,M,11999442765,patrícia.oliveira@email.com,Não,Taquari
16,Thiago Silva,39,F,11962725047,thiago.silva@email.com,Sim,Vila Cândida
17,Patrícia Ferreira,26,F,11903676676,patrícia.ferreira@email.com,Sim,Vila Cândida
18,Carlos Lima,24,M,11988287571,carlos.lima@email.com,Não,Altos da Vila Paiva
19,Bruno Almeida,35,M,11902966612,bruno.almeida@email.com,Não,Vila Cândida
20,Patrícia Santos,26,F,11981407839,patrícia.santos@email.com,Não,Vila Cândida
21,Marcos Silva,38,F,11925057207,marcos.silva@email.com,Sim,Vila Paiva
22,Carlos Silva,20,F,11947967025,carlos.silva@email.com,Sim,Vila São Geraldo
23,Marcos Lima,62,F,11924077664,marcos.lima@email.com,Não,Taquari
24,Gabriel Lima,30,F,11969555424,gabriel.lima@email.com,Não,Boa Vista
